Fecha,CantidadClaveUnicasNuevas
2017-02,72384
2017-03,194584
2017-04,102639
2017-05,113858
2017-06,106457
2017-07,99129
2017-08,105099
2017-09,87151
2017-10,95084
2017-11,96378
2017-12,78462
2018-01,102574
2018-02,93324
2018-03,155367
2018-04,148004
2018-05,103351
2018-06,88973
2018-07,86681
2018-08,103111
2018-09,78968
2018-10,101322
2018-11,97432
2018-12,82153
2019-01,140694
2019-02,305970
2019-03,168265
2019-04,168186
2019-05,165622
2019-06,149522
2019-07,155965
2019-08,169314
2019-09,146431
2019-10,180141
2019-11,168899
2019-12,183558
2020-01,190918
2020-02,155425
2020-03,240933
2020-04,353869
2020-05,465791
2020-06,280397
2020-07,326485
2020-08,835881
2020-09,356505
2020-10,251593
2020-11,245258
2020-12,158024
2021-01,269730
2021-02,228897
2021-03,236095
2021-04,441336
2021-05,384442
2021-06,501154
2021-07,459383
2021-08,438037
2021-09,264477
2021-10,186164
2021-11,164665
2021-12,126001
2022-01,116310
2022-02,101648
2022-03,91554
2022-04,90291
